Key,English,Japanese,Korean,ChineseSimplified,ChineseTraditional
editor.window.label.vplayer.addcharacter,Add Character,,캐릭터 추가,,
editor.window.label.vgame,Vulcanus Game,,게임,,
editor.window.label.vgame.roundsetting,Round Settings,,라운드 설정,,
editor.window.label.vdata.OfficialContents,Official Content,,공식 콘텐츠,,
editor.common.menu.label.projectsettings,Project Settings,,프로젝트 설정,,
editor.window.label.projectsettings,Project Settings,,프로젝트 설정,,
editor.window.label.projectsettings.packagesettings,Package Settings,,패키지 설정,,
editor.window.label.projectsettings.GameFrameworkBundle,Game Framework Bundle,,게임프레임워크 번들,,
editor.window.option.game_setting_editor.additional_recruitment.allowed,Allowed,,허용,,
editor.window.option.game_setting_editor.additional_recruitment.forbidden,Forbidden,,금지,,
editor.window.uiplayercount.label.Fail,Eliminated,,탈락,,
editor.window.uiplayercount.label.Success,Success,,성공,,
editor.window.visualscript.button.addbranch,Add Branch,,Add Branch,,
editor.window.visualscript.button.addcondition,Add Condition,,Add Condition,,
editor.window.visualscript.button.addperformer,Add Performer,,Add Performer,,
editor.window.visualscript.button.addvariable,Add Variable,,Add Variable,,
editor.window.visualscript.button.variablecontainer,Variable Container,,Variable Container,,
editor.window.visualscript.button.createenum,Create Enum,,열거형을 만들기,,
editor.window.visualscript.button.createeventmodule,Create Event Module,,이벤트 모듈 만들기,,
editor.window.visualscript.button.createvaluebinder,Create Value Binder,,밸류 바인더 만들기,,
editor.window.visualscript.button.createluamodule,Create Lua Module,,루아 모듈 만들기,,
editor.window.vulcanusbuffeditor.personalproperty,Personal Property,,개별 설정,,
editor.window.vulcanusequipitemeditor.personalproperty,Personal Property,,개별 설정,,
instruction.button.add,Add,,추가,,
instruction.button.delete,Delete,,삭제,,
instruction.button.paste,Paste,,붙여넣기,,
instruction.option.event_type.broadcasting,Broadcasting,,브로드캐스팅,,
instruction.option.event_type.directevent,Direct Event,,직접 이벤트,,
instruction.option.event_type.keyevent,Key Event,,키 이벤트,,
instruction.option.event_type.none,None,,없음,,
instruction.property.label.compare_event_option,Compare Event Option,,이벤트 비교,,
instruction.property.label.event_name,Event Name,,이벤트 이름,,
instruction.property.label.root,Root,,루트,,
instruction.property.label.scope,Scope,,범위,,
instruction.property.label.target,Target,,대상,,
instruction.property.label.v_event_type,V Event Type,,이벤트 타입,,
editor.camera.label.camera_type,Camera Type,,카메라 타입,,
editor.camera.section.camera_data,Camera Data,,카메라 데이터,,
editor.camera.section.base_setting,Base Settings,,기본 설정,,
editor.camera.label.camera_rotation_x_speed,Camera Rotation X Speed,,카메라 X축 회전 속도,,
editor.camera.label.camera_rotation_y_speed,Camera Rotation Y Speed,,카메라 Y축 회전 속도,,
editor.camera.label.pitch,Camera Pitch,,피치,,
editor.camera.label.yaw,Camera Yaw,,요,,
editor.camera.label.zoom,Zoom,,줌,,
editor.camera.label.offset,Offset,,오프셋,,
editor.camera.label.fov,FOV,,시야각,,
editor.camera.checkbox.object_collide,Object Collision,,오브젝트 충돌,,
editor.camera.section.rig_setting,Rig Settings,,리그 설정,,
editor.camera.label.top_rig_height,Top Rig Height,,상단 리그 높이,,
editor.camera.label.top_rig_radius,Top Rig Radius,,상단 리그 반지름,,
